zero crossings,amplitude,duration,envelope symmetry,event,start,end,species,height,recording
1.0,0.18973,0.18,0.453,chew,13.8,14.52,alfalfa,tall,recording_02
3.0,0.64704,0.39,0.58063,chew-bite,14.6,15.36,alfalfa,tall,recording_02
3.0,0.68928,0.29,0.47379,chew-bite,15.56,16.16,alfalfa,tall,recording_02
3.0,0.26926,0.27,0.60065,chew-bite,16.344307999999998,17.024307999999998,alfalfa,tall,recording_02
1.0,0.14275,0.14,0.51222,chew,17.233123000000003,17.913123000000002,alfalfa,tall,recording_02
3.0,0.31996,0.31,0.63835,chew-bite,18.038373,18.718373,alfalfa,tall,recording_02
3.0,0.18282,0.26,0.39368,chew-bite,19.0,19.48,alfalfa,tall,recording_02
5.0,0.22604,0.42,0.60279,chew-bite,20.16,21.04,alfalfa,tall,recording_02
3.0,0.38773,0.27,0.63643,chew-bite,21.24,21.92,alfalfa,tall,recording_02
3.0,0.57256,0.32,0.59644,chew-bite,22.16,22.88,alfalfa,tall,recording_02
3.0,0.60817,0.35,0.5536,chew-bite,23.04,23.8,alfalfa,tall,recording_02
3.0,0.67171,0.33,0.51169,chew-bite,24.0,24.76,alfalfa,tall,recording_02
1.0,0.45379,0.27,0.60829,chew-bite,25.0,25.64,alfalfa,tall,recording_02
2.0,0.43472,0.3,0.39111,bite,25.88,26.444126,alfalfa,tall,recording_02
1.0,0.087075,0.1,0.50909,chew,26.91892,27.698519,alfalfa,tall,recording_02
1.0,0.067508,0.11,0.52416,chew,27.819129999999998,28.499129999999997,alfalfa,tall,recording_02
1.0,0.23998,0.18,0.43271,chew,28.575002,29.375002000000002,alfalfa,tall,recording_02
1.0,0.1525,0.19,0.46336,chew,29.52,30.24,alfalfa,tall,recording_02
1.0,0.086259,0.18,0.53326,chew,30.32,30.918584999999997,alfalfa,tall,recording_02
3.0,0.092046,0.21,0.60162,chew,32.407923,33.238349,alfalfa,tall,recording_02
3.0,0.11621,0.2,0.52431,chew,33.410784,34.111362,alfalfa,tall,recording_02
1.0,0.15632,0.09,0.38093,bite,0.254627,0.7746270000000001,alfalfa,tall,recording_03
1.0,0.19991,0.13,0.40934,bite,1.12,1.476736,alfalfa,tall,recording_03
1.0,0.1811,0.12,0.4174,bite,2.56981,2.8898099999999998,alfalfa,tall,recording_03
1.0,0.17992,0.08,0.43901,bite,3.3714160000000004,3.829379,alfalfa,tall,recording_03
1.0,0.21323,0.14,0.41312,bite,4.6,5.12,alfalfa,tall,recording_03
1.0,0.38315,0.16,0.45941,bite,5.213676,5.773676,alfalfa,tall,recording_03
1.0,0.41452,0.19,0.46103,bite,6.0739019999999995,6.473902,alfalfa,tall,recording_03
1.0,0.29418,0.17,0.45874,bite,6.556836,7.116836,alfalfa,tall,recording_03
3.0,0.26289,0.3,0.66559,bite,7.266181,7.906181,alfalfa,tall,recording_03
1.0,0.1083,0.1,0.4819,chew,8.108798,8.788798,alfalfa,tall,recording_03
5.0,0.36219,0.36,0.47109,chew-bite,8.92,9.6,alfalfa,tall,recording_03
2.0,0.39422,0.25,0.57484,chew-bite,9.8,10.44,alfalfa,tall,recording_03
1.0,0.12482,0.17,0.45586,chew,10.52,11.24,alfalfa,tall,recording_03
5.0,0.36597,0.3,0.65364,chew-bite,11.325012,12.005011999999999,alfalfa,tall,recording_03
1.0,0.26464,0.22,0.55025,chew-bite,12.24,12.92,alfalfa,tall,recording_03
3.0,0.5331,0.3,0.61103,chew-bite,13.12,13.72,alfalfa,tall,recording_03
3.0,0.21127,0.29,0.56882,chew-bite,14.32,15.12,alfalfa,tall,recording_03
2.0,0.19941,0.27,0.65293,chew-bite,15.32,15.92,alfalfa,tall,recording_03
1.0,0.2674,0.2,0.56159,chew-bite,16.046167999999998,16.606168,alfalfa,tall,recording_03
3.0,0.30808,0.23,0.56426,chew-bite,16.877905,17.557904999999998,alfalfa,tall,recording_03
3.0,0.19161,0.22,0.61839,chew-bite,17.777132,18.457132,alfalfa,tall,recording_03
1.0,0.52304,0.23,0.52056,chew-bite,18.682923000000002,19.362923000000002,alfalfa,tall,recording_03
2.0,0.49667,0.19,0.47738,chew-bite,19.614351,20.334351,alfalfa,tall,recording_03
2.0,0.39662,0.24,0.60424,chew-bite,20.570644,21.250644,alfalfa,tall,recording_03
1.0,0.46985,0.2,0.54486,bite,21.482999,22.322999,alfalfa,tall,recording_03
1.0,0.4053,0.26,0.39185,chew-bite,22.68,23.36,alfalfa,tall,recording_03
5.0,0.42056,0.28,0.54194,chew-bite,23.44,24.36,alfalfa,tall,recording_03
1.0,0.36987,0.24,0.52612,chew-bite,24.56,25.24,alfalfa,tall,recording_03
1.0,0.48387,0.22,0.41198,bite,25.52,26.08,alfalfa,tall,recording_03
1.0,0.26319,0.15,0.65015,chew-bite,26.24,26.72,alfalfa,tall,recording_03
1.0,0.084772,0.11,0.51786,chew,27.361372999999997,27.875334999999996,alfalfa,tall,recording_03
